alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99943.3,0,0,0,0
0,0,1,99943.3,3.75e-05,0,0,0
0,0,1,99943.3,7.5e-05,0,0,0
0,0,1,99943.3,0.0001125,0,0,0
0,0,1,99943.3,0.00015,0,0,0
0,0,1,99943.3,0.0001875,0,0,0
0,0,1,99943.3,0.000225,0,0,0
0,0,1,99943.3,0.0002625,0,0,0
0,0,1,99943.3,0.0003,0,0,0
0,0,1,99943.3,0.0003375,0,0,0
0,0,1,99943.3,0.000375,0,0,0
0,0,1,99943.3,0.0004125,0,0,0
0,0,1,99943.3,0.00045,0,0,0
0,0,1,99943.3,0.0004875,0,0,0
0,0,1,99943.3,0.000525,0,0,0
0,0,1,99943.3,0.0005625,0,0,0
0,0,1,99943.3,0.0006,0,0,0
0,0,1,99943.3,0.0006375,0,0,0
0,0,1,99943.3,0.000675,0,0,0
0,0,1,99943.3,0.0007125,0,0,0
0,0,1,99943.3,0.00075,0,0,0
0,0,1,99943.3,0.0007875,0,0,0
0,0,1,99943.3,0.000825,0,0,0
0,0,1,99943.3,0.0008625,0,0,0
0,0,1,99943.3,0.0009,0,0,0
0,0,1,99943.3,0.0009375,0,0,0
0,0,1,99943.3,0.000975,0,0,0
0,0,1,99943.3,0.0010125,0,0,0
0,0,1,99943.3,0.00105,0,0,0
0,0,1,99943.3,0.0010875,0,0,0
0,0,1,99943.3,0.001125,0,0,0
0,0,1,99943.3,0.0011625,0,0,0
0,0,1,99943.3,0.0012,0,0,0
0,0,1,99943.3,0.0012375,0,0,0
0,0,1,99943.3,0.001275,0,0,0
0,0,1,99943.3,0.0013125,0,0,0
0,0,1,99943.3,0.00135,0,0,0
0,0,1,99943.3,0.0013875,0,0,0
0,0,1,99943.3,0.001425,0,0,0
0,0,1,99943.3,0.0014625,0,0,0
0,0,1,99943.3,0.0015,0,0,0
0,0,1,99943.3,0.0015375,0,0,0
0,0,1,99943.3,0.001575,0,0,0
0,0,1,99943.3,0.0016125,0,0,0
0,0,1,99943.3,0.00165,0,0,0
0,0,1,99943.3,0.0016875,0,0,0
0,0,1,99943.3,0.001725,0,0,0
0,0,1,99943.3,0.0017625,0,0,0
0,0,1,99943.3,0.0018,0,0,0
0,0,1,99943.3,0.0018375,0,0,0
0,0,1,99943.3,0.001875,0,0,0
0,0,1,99943.3,0.0019125,0,0,0
0,0,1,99943.3,0.00195,0,0,0
0,0,1,99943.3,0.0019875,0,0,0
0,0,1,99943.3,0.002025,0,0,0
0,0,1,99943.3,0.0020625,0,0,0
0,0,1,99943.3,0.0021,0,0,0
0,0,1,99943.3,0.0021375,0,0,0
0,0,1,99943.3,0.002175,0,0,0
0,0,1,99943.3,0.0022125,0,0,0
0,0,1,99943.3,0.00225,0,0,0
0,0,1,99943.3,0.0022875,0,0,0
0,0,1,99943.3,0.002325,0,0,0
0,0,1,99943.3,0.0023625,0,0,0
0,0,1,99943.3,0.0024,0,0,0
0,0,1,99943.3,0.0024375,0,0,0
0,0,1,99943.3,0.002475,0,0,0
0,0,1,99943.3,0.0025125,0,0,0
0,0,1,99943.3,0.00255,0,0,0
0,0,1,99943.3,0.0025875,0,0,0
0,0,1,99943.3,0.002625,0,0,0
0,0,1,99943.3,0.0026625,0,0,0
0,0,1,99943.3,0.0027,0,0,0
0,0,1,99943.3,0.0027375,0,0,0
0,0,1,99943.3,0.002775,0,0,0
0,0,1,99943.3,0.0028125,0,0,0
0,0,1,99943.3,0.00285,0,0,0
0,0,1,99943.3,0.0028875,0,0,0
0,0,1,99943.3,0.002925,0,0,0
0,0,1,99943.3,0.0029625,0,0,0
0,0,1,99943.3,0.003,0,0,0
0,0,1,99943.3,0,3.75e-05,0,0
0,0,1,99943.3,3.75e-05,3.75e-05,0,3.74033e-07
0,0,1,99943.3,7.5e-05,3.75e-05,0,4.18558e-06
0,0,1,99943.3,0.0001125,3.75e-05,0,1.10112e-05
0,0,1,99943.3,0.00015,3.75e-05,0,2.01524e-05
0,0,1,99943.3,0.0001875,3.75e-05,0,3.06097e-05
0,0,1,99943.3,0.000225,3.75e-05,0,4.14194e-05
0,0,1,99943.3,0.0002625,3.75e-05,0,5.18458e-05
0,0,1,99943.3,0.0003,3.75e-05,0,6.14497e-05
0,0,1,99943.3,0.0003375,3.75e-05,0,7.00523e-05
0,0,1,99943.3,0.000375,3.75e-05,0,7.76506e-05
0,0,1,99943.3,0.0004125,3.75e-05,0,8.43296e-05
0,0,1,99943.3,0.00045,3.75e-05,0,9.01975e-05
0,0,1,99943.3,0.0004875,3.75e-05,0,9.53481e-05
0,0,1,99943.3,0.000525,3.75e-05,0,9.98454e-05
0,0,1,99943.3,0.0005625,3.75e-05,0,0.000103723
0,0,1,99943.3,0.0006,3.75e-05,0,0.000106993
0,0,1,99943.3,0.0006375,3.75e-05,0,0.000109647
0,0,1,99943.3,0.000675,3.75e-05,0,0.000111673
0,0,1,99943.3,0.0007125,3.75e-05,0,0.000113054
0,0,1,99943.3,0.00075,3.75e-05,0,0.000113769
0,0,1,99943.3,0.0007875,3.75e-05,0,0.000113804
0,0,1,99943.3,0.000825,3.75e-05,0,0.000113146
0,0,1,99943.3,0.0008625,3.75e-05,0,0.000111785
0,0,1,99943.3,0.0009,3.75e-05,0,0.000109715
0,0,1,99943.3,0.0009375,3.75e-05,0,0.000106936
0,0,1,99943.3,0.000975,3.75e-05,0,0.000103452
0,0,1,99943.3,0.0010125,3.75e-05,0,9.92737e-05
0,0,1,99943.3,0.00105,3.75e-05,0,9.4416e-05
0,0,1,99943.3,0.0010875,3.75e-05,0,8.89005e-05
0,0,1,99943.3,0.001125,3.75e-05,0,8.27545e-05
0,0,1,99943.3,0.0011625,3.75e-05,0,7.60121e-05
0,0,1,99943.3,0.0012,3.75e-05,0,6.87142e-05
0,0,1,99943.3,0.0012375,3.75e-05,0,6.09085e-05
0,0,1,99943.3,0.001275,3.75e-05,0,5.26499e-05
0,0,1,99943.3,0.0013125,3.75e-05,0,4.40024e-05
0,0,1,99943.3,0.00135,3.75e-05,0,3.50425e-05
0,0,1,99943.3,0.0013875,3.75e-05,0,2.58728e-05
0,0,1,99943.3,0.001425,3.75e-05,0,1.66822e-05
0,0,1,99943.3,0.0014625,3.75e-05,0,8.21392e-06
0,0,1,99943.3,0.0015,3.75e-05,0,6.65064e-06
0,0,1,99943.3,0.0015375,3.75e-05,0,1.44942e-05
0,0,1,99943.3,0.001575,3.75e-05,0,2.36776e-05
0,0,1,99943.3,0.0016125,3.75e-05,0,3.29505e-05
0,0,1,99943.3,0.00165,3.75e-05,0,4.20705e-05
0,0,1,99943.3,0.0016875,3.75e-05,0,5.0921e-05
0,0,1,99943.3,0.001725,3.75e-05,0,5.94183e-05
0,0,1,99943.3,0.0017625,3.75e-05,0,6.74929e-05
0,0,1,99943.3,0.0018,3.75e-05,0,7.50846e-05
0,0,1,99943.3,0.0018375,3.75e-05,0,8.21405e-05
0,0,1,99943.3,0.001875,3.75e-05,0,8.86154e-05
0,0,1,99943.3,0.0019125,3.75e-05,0,9.44698e-05
0,0,1,99943.3,0.00195,3.75e-05,0,9.96718e-05
0,0,1,99943.3,0.0019875,3.75e-05,0,0.000104196
0,0,1,99943.3,0.002025,3.75e-05,0,0.000108022
0,0,1,99943.3,0.0020625,3.75e-05,0,0.000111137
0,0,1,99943.3,0.0021,3.75e-05,0,0.000113532
0,0,1,99943.3,0.0021375,3.75e-05,0,0.000115206
0,0,1,99943.3,0.002175,3.75e-05,0,0.000116161
0,0,1,99943.3,0.0022125,3.75e-05,0,0.000116405
0,0,1,99943.3,0.00225,3.75e-05,0,0.00011595
0,0,1,99943.3,0.0022875,3.75e-05,0,0.00011481
0,0,1,99943.3,0.002325,3.75e-05,0,0.000113003
0,0,1,99943.3,0.0023625,3.75e-05,0,0.000110551
0,0,1,99943.3,0.0024,3.75e-05,0,0.000107472
0,0,1,99943.3,0.0024375,3.75e-05,0,0.000103785
0,0,1,99943.3,0.002475,3.75e-05,0,9.94951e-05
0,0,1,99943.3,0.0025125,3.75e-05,0,9.45958e-05
0,0,1,99943.3,0.00255,3.75e-05,0,8.90556e-05
0,0,1,99943.3,0.0025875,3.75e-05,0,8.28136e-05
0,0,1,99943.3,0.002625,3.75e-05,0,7.57798e-05
0,0,1,99943.3,0.0026625,3.75e-05,0,6.78515e-05
0,0,1,99943.3,0.0027,3.75e-05,0,5.89536e-05
0,0,1,99943.3,0.0027375,3.75e-05,0,4.91078e-05
0,0,1,99943.3,0.002775,3.75e-05,0,3.85247e-05
0,0,1,99943.3,0.0028125,3.75e-05,0,2.76944e-05
0,0,1,99943.3,0.00285,3.75e-05,0,1.7417e-05
